Company Name, Email, Website, telephone, Fax
A Karpat Ltd, info@akarpat.com, http://www.akarpat.com/, +1 514 735 4581, +1 514 735 7172
ABZ (Shanghai) Smart Tech. Co. Ltd., info@abz-sh.com, http://www.hosnglobe.com/, +86 21 50851505, NaN
ACIMAF, NaN, http://www.acimaf.com/, +39 02 5412-5301, +39 02 5412-0825
ACOTEQ GmbH, wida@acoteq.com, http://www.acoteq.com/,  +49 241 9520 1391, NaN
Acuity Products Limited, tony.hepton@acuityproducts.co.uk, http://www.acuityproducts.co.uk/, +44 (0)1745 535237, NaN
AEI Compounds Ltd, sales@aeicompounds.co.uk, http://www.aeicompounds.com/, +44 1304 616171, +44 1304 616170
AESA Cortaillod, jlallmann@aesa-cortaillod.com, http://www.aesa-cortaillod.com/, +41 32 843 0392, +41 32 842 4865
AFH-Antriebstechnik GmbH, eckert@afh-belt.de, http://www.belting-association.de/,  + 49 2151 542 887, NaN
Ajex & Turner Wire Dies Co, sales@ajexturner.com, http://www.ajexturner.com/, +91 11 2742 7994, +91 11 2745 2640
Aleados del Cobre S.A., alecosa@alecosa.es, http://www.alecosa.es/, +34 977 613025, +34 977 613793
Aliaj Fanar Omid Industrial Co, info@aliajfanar.com, http://www.aliajfanar.com,  +98 21 882 11 564, NaN
Alloy Wire International, sales@alloywire.com, http://www.alloywire.com/, +44 1384 566775, +44 1384 410074
Ambrell Ltd, smiller@ambrell.com, http://www.ambrell.com, NaN, NaN
Anglia Metal Ltd, sales@angliametal.com, http://www.angliametal.com/, +44 1924 223 744, +44 1924 220 098
Associated Engineers & Industrials Ltd, info@aeimachines.com, http://www.aeimachines.com/, +91 145 244 0125, +91 145 244 0126
August Strecker GmbH & Co KG, strecker@strecker-limburg.de, http://www.strecker-limburg.de/,  +49 6431 9610 0,  +49 6431 44221
Australasian Wire Industry Association, malcolm@wireassociation.com.au, NaN, +61 2 9484 9856 , +61 2 9875 5413 
Aversion Technologies Europe S.L, info@akarpat.com, http://www.aversiontech.com, +34 935 247 747, NaN
Aymak Makine Mühendislik Hizmetleri ve San. Tic. Ltd. Şti., info@aymakmakine.com, http://www.aymakmakine.com/, +90 216 622 3281 , +90 216 620 9786 
Badger Wire, wiresales2144@badgerwire.com.au%20, http://www.badgerwire.com.au/,  +61 2 9644 2390,  +61 2 9645 2535
Balloffet SA, balloffet@balloffetdie.com, http://www.balloffetdie.com/, +33 474 40 1900 , +33 474 35 7901 
Bar Products & Services Ltd, info@barproductsandservices.com, http://www.barproductsandservices.com/, +44 1274 693249 , +44 1274 693254 
BASEC, mail@basec.org.uk, http://www.basec.org.uk, +44 (0)1908 267300, +44 (0)1908 267255
BB Spring Technology , NaN, NaN, NaN, NaN
Bonakdar Ind & Com Group, info@bicg.ir, http://www.bicg.ir,  +98 21 74505, NaN
Bongard Machines GmbH & Co KG, info@bongard.de, http://www.bongard.de/, +49 2378 9155, +49 2378 915300
Bridon International Ltd, Dinesh.Ram@bridon-bekaert.com, http://www.bridon-bekaert.com,  +44 1302 565 100,  +44 1302 565 190
British Diamond Wire Die Co Ltd, guide_die@bdwd.freeserve.co.uk, NaN, +44 1202 745104, +44 1202 746125
BWE Limited, NaN, http://www.bwe.co.uk/, +44 1233 627 736, +44 1233 630 670
Cable Tapes UK Ltd, sales@cabletapesuk.com, http://www.cabletapesuk.com/, +44 161 740 9503, +44 161 740 5441
Calmec Precision Ltd, pc@calmec.net, http://www.calmec.net/, +1 905 677 7976, +1 905 677 4766
Cape Gate (Pty) Ltd, bassonf@capegate.co.za, http://www.capegate.co.za/, +27 16 980 2121, +27 16 980 2556
Carl Bechem GmbH, hofmann@bechem.de, http://www.bechem.com/, +49 2331 935 0, +49 2331 935 1189
Ceeco Bartell Products, tmurphy@bartellmachinery.com, http://www.bartellmachinery.com/, +1 315 336 7600, +1 315 336 0947
Cemanco LC, sales@cemanco.com, http://www.cemanco.com/, +1 954 970 3099, +1 954 970 3056
Central Wire Industries UK Ltd, info@hempel-wire.co.uk, http://www.centralwire.co.uk/, +44 1709 537 035, +44 1709 537 099
CeramTec GmbH, d.mangold@ceramtec.de, http://www.ceramtec.com/, +49 7153 611 724, +49 7153 611 601
Chaplin Bros (Birmingham) Ltd, info@chaplin-wire.co.uk%20, http://www.chaplin-wire.co.uk/,  +44 121 378 0565,  + 44 121 378 0157
Chemetall Ltd, ukinfo@chemetall.com, http://www.chemetall.com/, +44 1908 649333, +44 1908 373939
Cimteq Ltd, amanda.shehab@cimteq.com, http://www.cimteq.com/, +44 1978 664215, NaN
Commission Brokers Inc, marty137@aol.com, http://www.commissionbrokers.com/, +1 401 943 3777, +1 401 943 3670
Condat Limited, sales@condatlimited.co.uk, http://www.condat.fr/, +44 1302 770088, +44 1302 770776
Consultex Sp. z.o.o., consultex@sz.onet.pl, http://www.consultex.pl/, +48 91 486 16 18, +48 91 486 16 09
Control and Power Engineering Ltd, capeuk@aol.com, NaN, +44 1427 891 256, +44 1427 891 307
Copperweld Bimetallics UK Ltd, bmcnamara@fushicopperweld.com, http://www.copperweld.com/, +44 1952 586 771, +44 1952 680 058
CRU Events, sales@crugroup.com, http://www.crugroup.com/, +44 20 7903 21545, +44 20 7837 0976
CSM Metalurji Imalat Sanayi Ve Mühendislik Ltd sti, info@csmmetal.com.tr, http://www.csmmetal.com.tr/, +90 212 858 1806, +90 212 858 1807
Danross Engineering, ahmet.taphasan@csmmetal.com.tr, http://www.danrossengineering.co.uk/, +44 1204 840667, +44 1204 844042
De Montfort University, pkang@dmu.ac.uk, http://www.dmu.ac.uk/,  +44 116 207 8089, NaN
Deutsches Kupferinstitut Berufsverband e. V., michael.sander@copperalliance.de, https://www.kupferinstitut.de/, +49 (0) 211 4796-313, +49 (0) 211 4796 310
DLB GmbH, info@dlb-gmbh.de%20, http://www.dlb-gmbh.de/, +49 (0)30 / 25 208-300,  +49 (0)30 / 25 208-309
Dongguan XinMei Precise Mold Co Ltd, webmaster@dg-xinchang.com%20, http://www.dg-xinchang.com/,  +86 769 8561 9818,  +86 769 8561 9815
Drahtwerk Waidhaus GmbH, heigel@drahtwerk-waidhaus.de, http://www.drahtwerk-waidhaus.de/, +49 9652 188 135, +49 9652 188 111
DRT Impianti S.R.L., info@drtimpianti.com, http://www.drtimpianti.com/, +39 035 203 244, +39 035 690 203
DSE Test Solutions A/S, wip@dse.dk, http://www.dse.dk/, +45 75 61 8811, +45 75 61 5895
DUCAB, andrew.shaw@ducab.com, http://www.ducab.com,  +971 2 501 4320,  +971 2 550 0979
EDER Engineering GmbH, office@eder-eng.com, http://www.eder-eng.com/, +43 1 367 49 49, +43 1 367 49 49 49
EFD Induction a.s., wire@efd-induction.com, http://www.efd-induction.com,  +47 3550 6195, NaN
EJP Maschinen GmbH, info@ejpmachines.com, http://www.ejpmachines.com/,  + 49 2401 95410,  + 49 2401 954199
Er-Bakir Elektrolitik Bakir Mamulleri AS, erbakir@erbakir.com.tr, http://www.erbakir.com.tr/, +90 258 295 1900, +90 258 371 2194
Eurobend GmbH, eurobend@otenet.gr, http://www.eurobend.com/, +49 911 9498 980, NaN
Eurotek S.R.L., marketing@eurotek-italy.it%20, NaN,  +39 0872 725 810,  +39 0872 725 813
FH Machinery, sales@fhmachinery.com, http://www.fhmachinery.com/, +1 215 355 6641, +1 215 355 6691
FIB Belgium s.a., info@fib.be, http://www.fib.be/, +32 2 332 1717, +32 2 376 3711
Fisk Alloy Conductors BVBA, ppanaget@fiskalloy.com, http://www.fiskalloy.com/, +32 3 449 7600, +32 3 449 0419
FMS Force Measuring Systems AG, info@fms-technology.com, http://www.fms-technology.com/, +41 44 852 8080, +41 44 850 6006
Fort Wayne Wire Die Inc, sales@fwwd.com, http://www.fwwd.com/, +1 260 747 1681, +1 260 747 4269
Foxton Dies Ltd, post@foxtondies.com, http://www.foxtondies.com/, Tel: + 44 1274 874 422,  + 44 1274 862 218
Frontier Composites & Castings, info@frontiercomposites.com, http://www.frontiercomposites.com/, +1 905 685 3633, +1 905 685 3482
FUCHS Lubricants (UK) Plc, ukwebsite@fuchs-oil.com, http://www.fuchslubricants.com/,  +44 (0) 1782 203 700,  +44 (0) 1782 202 072
G & A Engineering Ltd, bmcnamara@fushicopperweld.com, http://www.dies4industry.co.uk/, +44 1942 608677, +44 1942 608677
Gauder Group, gauder@gaudergroup.com, http://www.gaudergroup.com/, +32 4 367 8787, +32 4 367 8798
Geca-Tapes bv, info@geca-tapes.com, http://www.geca-tapes.com/, +33 328 437458, +33 328 437463
Gem Gravure Co. Inc., rkrogman@gemgravure.com, http://www.gemgravure.com/,  +1 781 878 0456,  +1 781 871 2753
GEO Reinigungstechnik GmbH, info@geo-reinigungstechnik.de, http://www.geo-reinigungstechnik.de/, +49 2542 9555 290, +49 2542 9955 291
Golden Technologies Wire & Cable Equipment Co.Ltd, info@akarpat.com, http://www.gtcablemachine.com%20, +86-769-83713086, +86-769-83713085
Goodwin Machinery Ltd, sales@goodwinmachinery.co.uk, http://www.goodwinmachinery.co.uk/, +44 1204 534414, +44 1204 534415
Guidetti Srl, info@guidettisrl.com, http://www.Guidettisrl.com/,  +39 051 6858 511,  +39 051 972 099
GURFIL Sanayi ve Elektronik Cih. Paz. AS, murat@gurfil.com, http://www.gurfil.com/, +90 212 886 8618, +90 212 886 8629
Gwo-lian Machinery Industry Co, sales@gwolian.com, http://www.gwolian.com/, +886 7 951 8899/5858, +886 7 951 8866
H&R ChemPharm (UK) Limited, info@hur.com, http://www.hur.com, +44 121 582 0100, NaN
H. Folke Sandelin AB, hfsab@hfsab.com, http://www.hfsab.com/,  +46 141 20 36 30,  +46 141 20 36 39
Hafner & Krullmann GmbH, info@hafner-spools.com, http://www.hafner-spools.com/,  +49 (0) 5208 7004-0,  +49 (0) 5208 7004-155
Hans Schmidt & Co GmbH, info@hans-schmidt.com, NaN, +49 8638 94100, +49 8638 4825
HB Cables & Components Ltd, Philip@hbcables.com, http://www.hbcables.com/, +44 1279 647766, +44 1279 813316
Heda Industrial Co. Ltd, sales@comsuctech.com, http://www.comsuctech.com, +86 21 5109 5938, +86 21 5169 3758
Heinze & Streng GmbH, dennis.heinze@heinze-streng-gmbh.de, http://www.heinze-streng-gmbh.de/, +49 647 691 510, +49 647 691 5151
Hipo Electrix Science & Technology Co. Ltd, info@akarpat.com, http://www.hipo-electrix.com, +8621 37519670, +8621 37519676
Holton Crest Ltd, info@holtoncrest.com, http://www.holtoncrest.com/, +44 1202 681 501, +44 1202 681 502
Huestis Industrial, jsnee@huestis.com, http://www.huestis.com/, +1 401 253 5500, +1 401 253 7350
Huntstar Trading Ltd, jsnee@huestis.com, http://www.huntstar.co.uk/, +44 161 888 2169, +44 161 888 2315
ICE Wire Line Equipment Inc, icegroup@bellnet.ca, http://www.icewireline.com/, +1 514 388 2020, +1 514 388 5835
Inductotherm HWT - Radyne, %20info@inductothermhw.co.uk, http://www.inductothermhw.co.uk, +44 1256 335533, +44 1256 467224
Innovites B.V., info@innovites.com, http://www.innovites.com/, +31 888 8500 0150, +31 854 3185 41966
Institute of Spring Technology Ltd, ist@ist.org.uk, http://www.ist.org.uk/, +44 114 276 0771, +44 114 252 7997
Integer Research Ltd an Argus Media Company, philip.radbourne@integer-research.com, http://www.integer-research.com/, +44 (0)20 7780 4200, NaN
Interlink Import-Export Ltd, peter@interlink.uk.com, http://www.interlink.uk.com/, +44 1257 463211, +44 1257 464220
International Trade Shows Link Ltd, info@itsluk.com, http://www.itsluk.com/, +44 1564 781 871, NaN
Intras Limited, intras@intras.co.uk, http://www.intras.co.uk/, +44 1926 334137, +44 1926 314755/316788
Itaya Europe limited, itaya-ee@itaya.co.jp, NaN,  +44 1789 400 828,  +44 1789 400 886
JG Tec Ltd, john@jgtec.fsnet.co.uk, NaN, +44 1928 731133, +44 1928 731144
Jiangsu Handing Machinery Co Ltd, export@hdxljx.com, http://www.hdxljx.com/, +86 519 8623 0798, +86 519 8649 0700
Jiangsu Hongtai Stainless Steel Wire Rope Co Ltd, info@akarpat.com, http://www.cccme.org.cn, +8652383775907, NaN
Jina Special Steel Works Pvt Ltd, jsswbgm@dataone.in, http://www.jinaspecialsteel.co.in/,  + 91 831 2414 200,  + 91 831 2414 115
John Binns & Son (Springs) Ltd, info@akarpat.com, http://www.jbsprings.co.uk, +44 (0) 1756 797 979, NaN
Kabel.Consult.Ing, info@akarpat.com, http://www.kabelconsulting.de, NaN, NaN
Kay Pee Dies India Pvt Ltd, info@akarpat.com, http://www.kaypeedies.com, +9101203297194, NaN
Kelani Cables PLC, mahinda@kelanicables.com, http://www.kelanicables.com/, +94 11 743 4400, +94 11 743 4485
Key Rate International Co. Ltd, info@akarpat.com, NaN, NaN, NaN
KIESELSTEIN International GmbH, info@kieselstein-group.com, http://www.kieselstein-group.com/, +49 371 910 4100, +49 371 910 4105
Knight Precision Wire Limited, kpw.sales@knight-group.co.uk, http://www.knight-precision-wire.co.uk/,  +44 1707 645 261,  +44 1707 649 225
Koner SpA, tktgroup@tin.it, http://www.tktgroup.it/, +39 02 545 6396, +39 02 545 5832
LA. M. PLAST S.A.S., lamplast@lamplast.it, http://www.lamplast.it/,  +39 0362 353 722,  +39 0362 852 409
Langfang Xinming Cable Machinery Industry Co Ltd, xinming@xinmingcn.com, http://www.xinmingcn.com,  +86 159 1066 8398, NaN
Lanka Special Steels Limited, info@akarpat.com, https://www.google.co.uk/search?q=lanka+special+steels+ltd&oq=lanka+special+&aqs=chrome.0.0j69i60j69i57j0l3.1695j0j4&sourceid=chrome&ie=UTF-8, NaN, NaN
Lantor BV, info@lantor.com, http://www.lantor.com/,  +31 318 537 111, NaN
Leoni , general@temco.co.uk, http://www.leonitemco.com/, +44 1594 823115, +44 1594 823691
Lewis Wire Limited, sales@lewiswire.co.uk, http://www.lewiswire.co.uk/,  +44 1143 271 900,  +44 1143 271 770
Locton Ltd, sales@locton.co.uk, NaN, +44 1527 570 977, +44 1527 882 423
Lune CHF GmbH, info@lune-chf.com, http://www.lune-chf.com/, +492824 96 17 161, +492824 96 17 162
